Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Toppings Count,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Delivery Efficiency (min/km),Topping Density,Order Month,Payment Category
ORD038,Little Caesars,"Atlanta, GA",2024-02-08 19:30:00,2024-02-08 19:50:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,February,Offline
ORD039,Pizza Hut,"Dallas, TX",2024-02-09 18:15:00,2024-02-09 18:40:00,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,6.25,1.25,February,Online
ORD040,Marco's Pizza,"Seattle, WA",2024-02-10 14:30:00,2024-02-10 14:50:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,TRUE,5.714285714,0.857142857,February,Online
ORD041,Domino's,"Denver, CO",2024-02-11 19:00:00,2024-02-11 19:20:00,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,5,1,February,Online
ORD042,Papa John's,"Boston, MA",2024-02-12 20:15:00,2024-02-12 20:40:00,25,Small,Vegan,2,2,Medium,Cash,TRUE,FALSE,12.5,1,February,Offline
ORD043,Little Caesars,"Dallas, TX",2024-02-13 18:30:00,2024-02-13 18:50:00,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,6.666666667,1,February,Online
ORD044,Pizza Hut,"Los Angeles, CA",2024-02-14 19:45:00,2024-02-14 20:10:00,25,XL,Cheese Burst,5,5,Low,Card,TRUE,FALSE,5,1,February,Online
ORD045,Marco's Pizza,"Chicago, IL",2024-02-15 13:00:00,2024-02-15 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,UPI,FALSE,FALSE,5.714285714,0.857142857,February,Online
ORD046,Domino's,"Miami, FL",2024-02-16 18:30:00,2024-02-16 18:50:00,20,Large,Veg,4,4,High,Cash,TRUE,FALSE,5,1,February,Offline
ORD047,Papa John's,"Dallas, TX",2024-02-17 20:00:00,2024-02-17 20:25:00,25,Medium,Non-Veg,3,3,Low,Wallet,TRUE,TRUE,8.333333333,1,February,Online
ORD048,Little Caesars,"Houston, TX",2024-02-18 19:15:00,2024-02-18 19:35:00,20,Small,Vegan,2,2.5,Medium,Card,TRUE,TRUE,8,0.8,February,Online
ORD049,Pizza Hut,"Phoenix, AZ",2024-02-19 20:30:00,2024-02-19 20:55:00,25,XL,Cheese Burst,5,4.5,High,UPI,TRUE,FALSE,5.555555556,1.111111111,February,Online
ORD050,Marco's Pizza,"Atlanta, GA",2024-02-20 14:45:00,2024-02-20 15:05:00,20,Medium,Non-Veg,3,3,Low,Cash,FALSE,FALSE,6.666666667,1,February,Offline
ORD051,Domino's,"Seattle, WA",2024-02-21 19:00:00,2024-02-21 19:20:00,20,Large,Veg,4,4,Medium,Wallet,TRUE,FALSE,5,1,February,Online
ORD052,Papa John's,"Denver, CO",2024-02-22 20:15:00,2024-02-22 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,12.5,1,February,Online
ORD053,Little Caesars,"Boston, MA",2024-02-23 18:30:00,2024-02-23 18:50:00,20,Medium,Non-Veg,3,3.5,Low,UPI,TRUE,FALSE,5.714285714,0.857142857,February,Online
ORD054,Pizza Hut,"Chicago, IL",2024-02-24 19:45:00,2024-02-24 20:10:00,25,XL,Cheese Burst,5,4,Medium,Cash,TRUE,TRUE,6.25,1.25,February,Offline
ORD055,Marco's Pizza,"Miami, FL",2024-02-25 13:00:00,2024-02-25 13:20:00,20,Medium,Non-Veg,3,3,High,Wallet,FALSE,TRUE,6.666666667,1,February,Online
ORD056,Domino's,"Los Angeles, CA",2024-02-26 18:30:00,2024-02-26 18:50:00,20,Large,Veg,4,4.5,Low,Card,TRUE,FALSE,4.444444444,0.888888889,February,Online
ORD057,Papa John's,"Phoenix, AZ",2024-02-27 20:00:00,2024-02-27 20:25:00,25,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,8.333333333,1,February,Online
ORD058,Little Caesars,"Atlanta, GA",2024-02-28 19:15:00,2024-02-28 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,February,Offline
ORD059,Pizza Hut,"Dallas, TX",2024-02-29 20:30:00,2024-02-29 20:55:00,25,XL,Cheese Burst,5,4,Medium,Wallet,TRUE,FALSE,6.25,1.25,February,Online
ORD060,Marco's Pizza,"Seattle, WA",2024-03-01 14:45:00,2024-03-01 15:05:00,20,Medium,Non-Veg,3,3.5,High,Card,FALSE,FALSE,5.714285714,0.857142857,March,Online
ORD061,Domino's,"Denver, CO",2024-03-02 19:00:00,2024-03-02 19:20:00,20,Large,Veg,4,4,Low,UPI,TRUE,TRUE,5,1,March,Online
ORD062,Papa John's,"Boston, MA",2024-03-03 20:15:00,2024-03-03 20:40:00,25,Small,Vegan,2,2,Medium,Cash,TRUE,TRUE,12.5,1,March,Offline
ORD063,Little Caesars,"Dallas, TX",2024-03-04 18:30:00,2024-03-04 18:50:00,20,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,6.666666667,1,March,Online
ORD064,Pizza Hut,"Los Angeles, CA",2024-03-05 19:45:00,2024-03-05 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Card,TRUE,FALSE,5.555555556,1.111111111,March,Online
ORD065,Marco's Pizza,"Chicago, IL",2024-03-06 13:00:00,2024-03-06 13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,5.714285714,0.857142857,March,Online
ORD066,Domino's,"Miami, FL",2024-03-07 18:30:00,2024-03-07 18:50:00,20,Large,Veg,4,4,High,Card,TRUE,FALSE,5,1,March,Online
ORD067,Papa John's,"Dallas, TX",2024-03-08 20:00:00,2024-03-08 20:25:00,25,Medium,Non-Veg,3,3.5,Medium,UPI,TRUE,FALSE,7.142857143,0.857142857,March,Online
ORD068,Little Caesars,"Chicago, IL",2024-03-09 19:15:00,2024-03-09 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,8,0.8,March,Offline
ORD069,Pizza Hut,"Phoenix, AZ",2024-03-10 19:45:00,2024-03-10 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,5.555555556,1.111111111,March,Online
ORD070,Marco's Pizza,"Atlanta, GA",2024-03-11 13:00:00,2024-03-11 13:20:00,20,Medium,Non-Veg,3,3,Low,Card,FALSE,FALSE,6.666666667,1,March,Online
ORD071,Domino's,"Seattle, WA",2024-03-12 18:30:00,2024-03-12 18:50:00,20,Large,Veg,4,4,Medium,UPI,TRUE,FALSE,5,1,March,Online
ORD072,Papa John's,"Denver, CO",2024-03-13 20:15:00,2024-03-13 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,March,Offline
ORD073,Little Caesars,"Boston, MA",2024-03-14 18:30:00,2024-03-14 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,5.714285714,0.857142857,March,Online
ORD074,Pizza Hut,"Chicago, IL",2024-03-15 19:45:00,2024-03-15 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,6.25,1.25,March,Online
ORD075,Marco's Pizza,"Miami, FL",2024-03-16 13:00:00,2024-03-16 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,TRUE,6.666666667,1,March,Online
ORD076,Domino's,"Los Angeles, CA",2024-03-17 18:30:00,2024-03-17 18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,TRUE,4.444444444,0.888888889,March,Offline
ORD077,Papa John's,"Phoenix, AZ",2024-03-18 20:00:00,2024-03-18 20:25:00,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,8.333333333,1,March,Online
ORD078,Little Caesars,"Atlanta, GA",2024-03-19 19:15:00,2024-03-19 19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,8,0.8,March,Online
ORD079,Pizza Hut,"Dallas, TX",2024-03-20 19:45:00,2024-03-20 20:10:00,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,6.25,1.25,March,Online
ORD080,Marco's Pizza,"Seattle, WA",2024-03-21 13:00:00,2024-03-21 13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,FALSE,5.714285714,0.857142857,March,Offline
ORD081,Domino's,"Denver, CO",2024-03-22 18:30:00,2024-03-22 18:50:00,20,Large,Veg,4,4,Low,Wallet,TRUE,FALSE,5,1,March,Online
ORD082,Papa John's,"Boston, MA",2024-03-23 20:15:00,2024-03-23 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,TRUE,12.5,1,March,Online
ORD083,Little Caesars,"Dallas, TX",2024-03-24 18:30:00,2024-03-24 18:50:00,20,Medium,Non-Veg,3,3,High,UPI,TRUE,TRUE,6.666666667,1,March,Online
ORD084,Pizza Hut,"Los Angeles, CA",2024-03-25 19:45:00,2024-03-25 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,5.555555556,1.111111111,March,Offline
ORD085,Marco's Pizza,"Chicago, IL",2024-03-26 13:00:00,2024-03-26 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,5.714285714,0.857142857,March,Online
ORD086,Domino's,"Miami, FL",2024-03-27 18:30:00,2024-03-27 18:50:00,20,Large,Veg,4,4,High,Card,TRUE,FALSE,5,1,March,Online
ORD087,Papa John's,"Dallas, TX",2024-03-28 20:00:00,2024-03-28 20:25:00,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,FALSE,8.333333333,1,March,Online
ORD088,Little Caesars,"Houston, TX",2024-03-29 19:15:00,2024-03-29 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,March,Offline
ORD089,Pizza Hut,"Phoenix, AZ",2024-03-30 19:45:00,2024-03-30 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,TRUE,5.555555556,1.111111111,March,Online
ORD090,Marco's Pizza,"Atlanta, GA",2024-03-31 13:00:00,2024-03-31 13:20:00,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,TRUE,6.666666667,1,March,Online
ORD091,Domino's,"Seattle, WA",2024-04-01 18:30:00,2024-04-01 18:50:00,20,Large,Veg,4,4,Low,UPI,TRUE,FALSE,5,1,April,Online
ORD092,Papa John's,"Denver, CO",2024-04-02 20:15:00,2024-04-02 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,April,Offline
ORD093,Little Caesars,"Boston, MA",2024-04-03 18:30:00,2024-04-03 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,5.714285714,0.857142857,April,Online
ORD094,Pizza Hut,"Chicago, IL",2024-04-04 19:45:00,2024-04-04 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,FALSE,6.25,1.25,April,Online
ORD095,Marco's Pizza,"Miami, FL",2024-04-05 13:00:00,2024-04-05 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,6.666666667,1,April,Online
ORD096,Domino's,"Los Angeles, CA",2024-04-06 18:30:00,2024-04-06 18:50:00,20,Large,Veg,4,4.5,High,Card,TRUE,TRUE,4.444444444,0.888888889,April,Online
ORD097,Papa John's,"Dallas, TX",2024-04-07 20:00:00,2024-04-07 20:25:00,25,Medium,Non-Veg,3,3,Medium,UPI,TRUE,TRUE,8.333333333,1,April,Online
ORD098,Little Caesars,"Chicago, IL",2024-04-08 19:15:00,2024-04-08 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,FALSE,8,0.8,April,Offline
ORD099,Pizza Hut,"Phoenix, AZ",2024-04-09 19:45:00,2024-04-09 20:10:00,25,XL,Cheese Burst,5,4,High,Wallet,TRUE,FALSE,6.25,1.25,April,Online
ORD100,Marco's Pizza,"Atlanta, GA",2024-04-10 13:00:00,2024-04-10 13:20:00,20,Medium,Non-Veg,3,3.5,Low,Card,FALSE,FALSE,5.714285714,0.857142857,April,Online
ORD101,Domino's,"Seattle, WA",2024-04-11 18:30:00,2024-04-11 18:50:00,20,Large,Veg,4,4.5,Medium,UPI,TRUE,FALSE,4.444444444,0.888888889,April,Online
ORD102,Papa John's,"Denver, CO",2024-04-12 20:15:00,2024-04-12 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,April,Offline
ORD103,Little Caesars,"Boston, MA",2024-04-13 18:30:00,2024-04-13 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,TRUE,5.714285714,0.857142857,April,Online
ORD104,Pizza Hut,"Chicago, IL",2024-04-14 19:45:00,2024-04-14 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,TRUE,6.25,1.25,April,Online
ORD105,Marco's Pizza,"Miami, FL",2024-04-15 13:00:00,2024-04-15 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,FALSE,6.666666667,1,April,Online
ORD106,Domino's,"Los Angeles, CA",2024-04-16 18:30:00,2024-04-16 18:50:00,20,Large,Veg,4,4.5,Low,Cash,TRUE,FALSE,4.444444444,0.888888889,April,Offline
ORD107,Papa John's,"Phoenix, AZ",2024-04-17 20:00:00,2024-04-17 20:25:00,25,Medium,Non-Veg,3,3,High,Wallet,TRUE,FALSE,8.333333333,1,April,Online
ORD108,Little Caesars,"Atlanta, GA",2024-04-18 19:15:00,2024-04-18 19:35:00,20,Small,Vegan,2,2.5,Low,Card,TRUE,FALSE,8,0.8,April,Online
ORD109,Pizza Hut,"Dallas, TX",2024-04-19 19:45:00,2024-04-19 20:10:00,25,XL,Cheese Burst,5,4,Medium,UPI,TRUE,FALSE,6.25,1.25,April,Online
ORD110,Marco's Pizza,"Seattle, WA",2024-04-20 13:00:00,2024-04-20 13:20:00,20,Medium,Non-Veg,3,3.5,High,Cash,FALSE,TRUE,5.714285714,0.857142857,April,Offline
ORD111,Domino's,"Denver, CO",2024-04-21 18:30:00,2024-04-21 18:50:00,20,Large,Veg,4,4.5,Low,Wallet,TRUE,TRUE,4.444444444,0.888888889,April,Online
ORD112,Papa John's,"Boston, MA",2024-04-22 20:15:00,2024-04-22 20:40:00,25,Small,Vegan,2,2,High,Card,TRUE,FALSE,12.5,1,April,Online
ORD113,Little Caesars,"Dallas, TX",2024-04-23 18:30:00,2024-04-23 18:50:00,20,Medium,Non-Veg,3,3,High,UPI,TRUE,FALSE,6.666666667,1,April,Online
ORD114,Pizza Hut,"Los Angeles, CA",2024-04-24 19:45:00,2024-04-24 20:10:00,25,XL,Cheese Burst,5,4.5,Low,Cash,TRUE,FALSE,5.555555556,1.111111111,April,Offline
ORD115,Marco's Pizza,"Chicago, IL",2024-04-25 13:00:00,2024-04-25 13:20:00,20,Medium,Non-Veg,3,3.5,Medium,Wallet,FALSE,FALSE,5.714285714,0.857142857,April,Online
ORD116,Domino's,"Miami, FL",2024-04-26 18:30:00,2024-04-26 18:50:00,20,Large,Veg,4,4,High,Card,TRUE,FALSE,5,1,April,Online
ORD117,Papa John's,"Dallas, TX",2024-04-27 20:00:00,2024-04-27 20:25:00,25,Medium,Non-Veg,3,3,Low,UPI,TRUE,TRUE,8.333333333,1,April,Online
ORD118,Little Caesars,"Houston, TX",2024-04-28 19:15:00,2024-04-28 19:35:00,20,Small,Vegan,2,2.5,Low,Cash,TRUE,TRUE,8,0.8,April,Offline
ORD119,Pizza Hut,"Phoenix, AZ",2024-04-29 19:45:00,2024-04-29 20:10:00,25,XL,Cheese Burst,5,4.5,High,Wallet,TRUE,FALSE,5.555555556,1.111111111,April,Online
ORD120,Marco's Pizza,"Atlanta, GA",2024-04-30 13:00:00,2024-04-30 13:20:00,20,Medium,Non-Veg,3,3,Medium,Card,FALSE,FALSE,6.666666667,1,April,Online
ORD121,Domino's,"Seattle, WA",2024-05-01 18:30:00,2024-05-01 18:50:00,20,Large,Veg,4,4.5,Low,UPI,TRUE,FALSE,4.444444444,0.888888889,May,Online
ORD122,Papa John's,"Denver, CO",2024-05-02 20:15:00,2024-05-02 20:40:00,25,Small,Vegan,2,2,High,Cash,TRUE,FALSE,12.5,1,May,Offline
ORD123,Little Caesars,"Boston, MA",2024-05-03 18:30:00,2024-05-03 18:50:00,20,Medium,Non-Veg,3,3.5,Low,Wallet,TRUE,FALSE,5.714285714,0.857142857,May,Online
ORD124,Pizza Hut,"Chicago, IL",2024-05-04 19:45:00,2024-05-04 20:10:00,25,XL,Cheese Burst,5,4,Medium,Card,TRUE,TRUE,6.25,1.25,May,Online
ORD125,Marco's Pizza,"Miami, FL",2024-05-05 13:00:00,2024-05-05 13:20:00,20,Medium,Non-Veg,3,3,High,UPI,FALSE,TRUE,6.666666667,1,May,Online
ORD126,Domino's,"New York, NY",2024-08-01 18:00:00,2024-08-01 18:20:00,20,Medium,Veg,2,3,Low,Card,TRUE,FALSE,6.666666667,0.666666667,August,Online
ORD127,Papa John's,"Chicago, IL",2024-08-02 19:15:00,2024-08-02 19:45:00,30,Large,Non-Veg,4,6,Medium,UPI,TRUE,FALSE,5,0.666666667,August,Online
ORD128,Pizza Hut,"Los Angeles, CA",2024-08-03 20:30:00,2024-08-03 21:10:00,40,XL,Cheese Burst,5,8,High,Wallet,TRUE,TRUE,5,0.625,August,Online
ORD129,Little Caesars,"Houston, TX",2024-08-04 18:45:00,2024-08-04 19:05:00,20,Small,Vegan,1,2.5,Low,Cash,TRUE,TRUE,8,0.4,August,Offline
ORD130,Marco's Pizza,"Phoenix, AZ",2024-08-05 19:00:00,2024-08-05 19:50:00,50,Large,Non-Veg,4,10,High,Card,TRUE,FALSE,5,0.4,August,Online
ORD131,Domino's,"Miami, FL",2024-08-06 20:00:00,2024-08-06 20:35:00,35,Medium,Veg,3,5.5,Medium,Wallet,TRUE,FALSE,6.363636364,0.545454545,August,Online
ORD132,Papa John's,"Denver, CO",2024-08-07 18:30:00,2024-08-07 18:50:00,20,Small,Vegan,2,2,Low,UPI,TRUE,FALSE,10,1,August,Online
ORD133,Pizza Hut,"Boston, MA",2024-08-08 19:45:00,2024-08-08 20:25:00,40,XL,Cheese Burst,5,7.5,High,Cash,TRUE,FALSE,5.333333333,0.666666667,August,Offline
ORD134,Little Caesars,"Dallas, TX",2024-08-09 18:00:00,2024-08-09 18:30:00,30,Medium,Non-Veg,3,4,Medium,Card,TRUE,FALSE,7.5,0.75,August,Online
ORD135,Marco's Pizza,"Seattle, WA",2024-08-10 20:15:00,2024-08-10 21:00:00,45,Large,Veg,4,9,High,Wallet,TRUE,TRUE,5,0.444444444,August,Online
ORD136,Domino's,"San Jose, CA",2024-08-11 18:00:00,2024-08-11 18:20:00,20,Medium,Veg,2,3,Low,UPI,TRUE,TRUE,6.666666667,0.666666667,August,Online
ORD137,Papa John's,"Austin, TX",2024-08-12 19:15:00,2024-08-12 19:45:00,30,Large,Non-Veg,4,6,Medium,Cash,TRUE,FALSE,5,0.666666667,August,Offline
ORD138,Pizza Hut,"San Diego, CA",2024-08-13 20:30:00,2024-08-13 21:10:00,40,XL,Cheese Burst,5,8,High,Card,TRUE,FALSE,5,0.625,August,Online
ORD139,Little Caesars,"Jacksonville, FL",2024-08-14 18:45:00,2024-08-14 19:05:00,20,Small,Vegan,1,2.5,Low,Wallet,TRUE,FALSE,8,0.4,August,Online
ORD140,Marco's Pizza,"Fort Worth, TX",2024-08-15 19:00:00,2024-08-15 19:50:00,50,Large,Non-Veg,4,10,High,UPI,TRUE,FALSE,5,0.4,August,Online
ORD141,Domino's,"Columbus, OH",2024-08-16 20:00:00,2024-08-16 20:35:00,35,Medium,Veg,3,5.5,Medium,Cash,TRUE,FALSE,6.363636364,0.545454545,August,Offline
ORD142,Papa John's,"Charlotte, NC",2024-08-17 18:30:00,2024-08-17 18:50:00,20,Small,Vegan,2,2,Low,Card,TRUE,TRUE,10,1,August,Online
ORD143,Pizza Hut,"Indianapolis, IN",2024-08-18 19:45:00,2024-08-18 20:25:00,40,XL,Cheese Burst,5,7.5,High,Wallet,TRUE,TRUE,5.333333333,0.666666667,August,Online
ORD144,Little Caesars,"San Francisco, CA",2024-08-19 18:00:00,2024-08-19 18:30:00,30,Medium,Non-Veg,3,4,Medium,UPI,TRUE,FALSE,7.5,0.75,August,Online
ORD145,Marco's Pizza,"Charlotte, NC",2024-08-20 20:15:00,2024-08-20 21:00:00,45,Large,Veg,4,9,High,Cash,TRUE,FALSE,5,0.444444444,August,Offline
ORD146,Domino's,"Detroit, MI",2024-08-21 18:00:00,2024-08-21 18:20:00,20,Medium,Veg,2,3,Low,Card,TRUE,FALSE,6.666666667,0.666666667,August,Online
